dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
174 0.2893461585044861 3.0617117881774902 0 0 0
175 0.2858644723892212 3.0657739639282227 0 0 0
176 0.2824699580669403 3.069915294647217 0 0 0
177 0.27912694215774536 3.0746910572052 0 0 0
178 0.27581873536109924 3.080095052719116 0 0 0
179 0.2726060450077057 3.0848684310913086 0 0 0
180 0.2694122791290283 3.0887904167175293 0 0 0
181 0.26631152629852295 3.0939748287200928 0 0 0
182 0.26319169998168945 3.098630905151367 0 0 0
183 0.2601396441459656 3.103602647781372 0 0 0
184 0.25721296668052673 3.1087424755096436 0 0 0
185 0.25426337122917175 3.1127638816833496 0 0 0
186 0.2513056695461273 3.117612361907959 0 0 0
187 0.2484762817621231 3.1230671405792236 0 0 0
188 0.24567604064941406 3.127322196960449 0 0 0
189 0.24287275969982147 3.131425142288208 0 0 0
190 0.24021773040294647 3.135666847229004 0 0 0
191 0.23752644658088684 3.1395678520202637 0 0 0
192 0.23481957614421844 3.1445183753967285 0 0 0
193 0.23224259912967682 3.149224042892456 0 0 0
194 0.22970519959926605 3.153465747833252 0 0 0
195 0.22714878618717194 3.1582894325256348 0 0 0
196 0.22465893626213074 3.1627466678619385 0 0 0
197 0.22221198678016663 3.1678714752197266 0 0 0
198 0.21977712213993073 3.173107147216797 0 0 0
199 0.21740977466106415 3.177093982696533 0 0 0
200 0.21510788798332214 3.1808061599731445 3607 662 5731
201 0.21278735995292664 3.185676097869873 0 0 0
202 0.21049277484416962 3.189319610595703 0 0 0
203 0.20821382105350494 3.1943519115448 0 0 0
204 0.20597851276397705 3.1988258361816406 0 0 0
205 0.20379506051540375 3.2027153968811035 0 0 0
206 0.20164920389652252 3.2075085639953613 0 0 0
207 0.19955146312713623 3.211794376373291 0 0 0
