dataset: ../datasets/oct_1_newline/32_dogs_worms.txt
seed: 2560098125
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 3000
learning_rate: 0.001

epoch, train_loss, test_loss
0 4.371039867401123 4.448041915893555
1 4.279440879821777 4.3724365234375
2 4.194583892822266 4.302475452423096
3 4.11654806137085 4.238419532775879
4 4.04520845413208 4.180171966552734
5 3.9810104370117188 4.127776145935059
6 3.9237220287323 4.081221103668213
7 3.871899127960205 4.039422035217285
8 3.824511766433716 4.001420974731445
9 3.7812817096710205 3.9668772220611572
10 3.741969347000122 3.9352493286132812
11 3.704984664916992 3.9058384895324707
12 3.669924259185791 3.8781347274780273
13 3.6365280151367188 3.851912498474121
14 3.605140447616577 3.8271069526672363
15 3.5753819942474365 3.8035383224487305
16 3.54728627204895 3.7810232639312744
17 3.520282745361328 3.7595043182373047
18 3.4942615032196045 3.7388110160827637
19 3.468859910964966 3.7188353538513184
20 3.444115400314331 3.6995019912719727
21 3.419471025466919 3.6806628704071045
22 3.394991636276245 3.6622772216796875
23 3.370546817779541 3.6442432403564453
24 3.3457906246185303 3.62637996673584
25 3.3207802772521973 3.6083829402923584
26 3.2951323986053467 3.590089797973633
27 3.2688069343566895 3.5713982582092285
28 3.24168062210083 3.5522327423095703
29 3.213646411895752 3.532644748687744
30 3.1849703788757324 3.512787342071533
31 3.1558034420013428 3.4927005767822266
32 3.126314401626587 3.4724912643432617
33 3.0966107845306396 3.452225685119629
34 3.066791534423828 3.431800603866577
35 3.0373246669769287 3.411318302154541
36 3.007474899291992 3.390669822692871
37 2.9774389266967773 3.3698909282684326
38 2.9473321437835693 3.3489294052124023
39 2.9173052310943604 3.328066110610962
40 2.887247085571289 3.3071961402893066
41 2.8570497035980225 3.286252498626709
42 2.8266680240631104 3.265409231185913
43 2.796329975128174 3.2447123527526855
44 2.766184091567993 3.2242445945739746
45 2.73600172996521 3.2039918899536133
46 2.70587158203125 3.1838464736938477
47 2.675840377807617 3.163736581802368
48 2.645923376083374 3.143618106842041
49 2.615891218185425 3.123159408569336
50 2.5858006477355957 3.102323293685913
51 2.5557703971862793 3.0811400413513184
52 2.5256879329681396 3.0596799850463867
53 2.49562668800354 3.038057565689087
54 2.4657959938049316 3.0163421630859375
55 2.436389684677124 2.9944727420806885
56 2.407247304916382 2.9723148345947266
57 2.3782715797424316 2.950178861618042
58 2.349433183670044 2.9281325340270996
59 2.320884943008423 2.906386613845825
60 2.2928478717803955 2.8849897384643555
61 2.2652547359466553 2.863859176635742
62 2.238055944442749 2.8429603576660156
63 2.2113564014434814 2.8222508430480957
64 2.185101270675659 2.801661491394043
65 2.159294843673706 2.7810845375061035
66 2.134000301361084 2.7606918811798096
67 2.1092872619628906 2.7406959533691406
68 2.085197687149048 2.721147060394287
69 2.0615451335906982 2.70196533203125
70 2.038416624069214 2.683126926422119
71 2.015761613845825 2.664707899093628
72 1.9934574365615845 2.6465883255004883
73 1.9715031385421753 2.6287264823913574
74 1.9499495029449463 2.61104154586792
75 1.9288603067398071 2.593700647354126
76 1.9081608057022095 2.5768165588378906
77 1.8878034353256226 2.5604190826416016
78 1.8677715063095093 2.544447422027588
79 1.8480913639068604 2.5289804935455322
80 1.8287702798843384 2.5139927864074707
81 1.8097866773605347 2.4995012283325195
82 1.7912222146987915 2.4853672981262207
83 1.7730470895767212 2.471548080444336
84 1.7550983428955078 2.4579238891601562
85 1.737422227859497 2.4444618225097656
86 1.7199859619140625 2.431133508682251
87 1.7028106451034546 2.4179768562316895
88 1.6859140396118164 2.4051430225372314
89 1.669284701347351 2.3926923274993896
90 1.652872920036316 2.380553722381592
91 1.6367098093032837 2.368800640106201
92 1.6207342147827148 2.35740327835083
93 1.6049755811691284 2.3461554050445557
94 1.5894337892532349 2.3350882530212402
95 1.5740910768508911 2.3242783546447754
96 1.5589838027954102 2.3137643337249756
97 1.544015645980835 2.3035852909088135
98 1.5292834043502808 2.293721914291382
99 1.5147842168807983 2.284100294113159
100 1.5004924535751343 2.274653434753418
101 1.4863530397415161 2.2653260231018066
102 1.4723490476608276 2.2561802864074707
103 1.4584903717041016 2.2474632263183594
104 1.4448219537734985 2.239344835281372
105 1.4313400983810425 2.2317757606506348
106 1.4180266857147217 2.2245330810546875
107 1.4048717021942139 2.2172911167144775
108 1.3918612003326416 2.2101006507873535
109 1.379048466682434 2.2030303478240967
110 1.3663989305496216 2.196428060531616
111 1.3538252115249634 2.1903295516967773
112 1.3414020538330078 2.1848855018615723
113 1.329087734222412 2.1798062324523926
114 1.316874384880066 2.1749658584594727
115 1.3047642707824707 2.1702208518981934
116 1.2927031517028809 2.1655495166778564
117 1.280741572380066 2.1612749099731445
118 1.268882155418396 2.1573212146759033
119 1.2571158409118652 2.1534626483917236
120 1.245471715927124 2.14963698387146
121 1.233862280845642 2.146294593811035
122 1.2223460674285889 2.1434273719787598
123 1.210819125175476 2.1406898498535156
124 1.1993340253829956 2.1380555629730225
125 1.1880131959915161 2.135828971862793
126 1.176716685295105 2.134258508682251
127 1.165596604347229 2.133388042449951
128 1.1544809341430664 2.1323423385620117
129 1.1434844732284546 2.131263494491577
130 1.1326299905776978 2.130122184753418
131 1.121911883354187 2.1290910243988037
132 1.1112676858901978 2.1282172203063965
133 1.1006238460540771 2.1267552375793457
134 1.0900930166244507 2.1257100105285645
135 1.079586386680603 2.125586986541748
136 1.069085955619812 2.1255249977111816
137 1.058663249015808 2.125044584274292
138 1.0484235286712646 2.1251027584075928
139 1.0380584001541138 2.125507116317749
140 1.0277689695358276 2.126276731491089
141 1.0175470113754272 2.1275205612182617
142 1.0074020624160767 2.1292805671691895
143 0.9971482157707214 2.129918098449707
144 0.9871846437454224 2.131316661834717
145 0.9770669937133789 2.134024143218994
146 0.967001736164093 2.13665771484375
147 0.9570480585098267 2.1383697986602783
148 0.9470850825309753 2.139986753463745
149 0.9372498393058777 2.142335891723633
150 0.9275591969490051 2.1446197032928467
151 0.9180088043212891 2.1460506916046143
152 0.9082239270210266 2.149712085723877
153 0.898808479309082 2.1536450386047363
154 0.8893505930900574 2.1569414138793945
155 0.8799416422843933 2.160238027572632
156 0.8704883456230164 2.164330244064331
157 0.8611651659011841 2.1675946712493896
158 0.8519590497016907 2.1723079681396484
159 0.8428557515144348 2.178607940673828
160 0.8335500955581665 2.1823482513427734
161 0.8247955441474915 2.186269760131836
162 0.815619170665741 2.19353985786438
163 0.8068882822990417 2.1995744705200195
164 0.7980738282203674 2.2029592990875244
